,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
56,32.9861,70.6042,14.725714285714286,1.0,31.397260273972602,4.0,1.0,2007,8,19,1428,8,6,0,2,4,13,0,1,6
57,33.5351,71.0713,3.0,7.0,14.0,18.0,1.0,2007,8,20,1428,8,7,2,14,4,9,0,1,5
58,32.9746,70.1456,6.0,7.0,22.0,37.0,2.0,2007,8,24,1428,8,11,2,37,3,10,0,1,5
59,34.8015,72.757,14.725714285714286,4.0,31.397260273972602,2.0,1.0,2007,8,26,1428,8,13,0,48,4,13,0,1,6
60,34.8718,71.5249,3.0,7.0,4.0,9.0,1.0,2007,9,1,1428,8,19,2,1,3,10,0,1,5
61,32.3202,69.8597,14.725714285714286,0.0,31.397260273972602,39.45986984815618,1.0,2007,9,1,1428,8,19,2,51,3,9,0,0,5
62,33.6058,73.0437,18.0,25.0,31.397260273972602,39.45986984815618,2.0,2007,9,4,1428,8,22,2,44,5,10,0,1,5
63,33.6058,73.0437,14.725714285714286,7.0,31.397260273972602,39.45986984815618,1.0,2007,9,4,1428,8,22,2,44,5,8,1,1,5
64,31.8238,70.9095,17.0,19.0,16.0,19.0,1.0,2007,9,11,1428,8,29,2,9,4,10,1,1,1
65,34.0011,72.9372,15.0,20.0,11.0,46.0,1.0,2007,9,13,1428,9,1,2,15,4,9,0,0,5
66,32.226,70.3761,14.725714285714286,5.0,3.0,10.0,1.0,2007,9,22,1428,9,10,2,58,4,10,0,1,5
67,32.9861,70.6042,14.725714285714286,16.0,29.0,32.0,1.0,2007,10,1,1428,9,19,2,2,4,13,0,1,6
68,24.9918,66.9911,125.0,145.0,100.0,550.0,2.0,2007,10,18,1428,10,6,2,19,6,10,0,1,3
69,35.2227,72.4258,20.0,38.0,28.0,35.0,1.0,2007,10,25,1428,10,13,2,55,4,10,0,1,5
70,33.6058,73.0437,7.0,8.0,18.0,31.0,1.0,2007,10,30,1428,10,18,2,44,5,13,0,1,5
71,32.0791,72.6718,8.0,10.0,27.0,40.0,1.0,2007,11,1,1428,10,20,2,45,5,10,0,1,5
72,34.0043,71.5448,3.0,4.0,2.0,5.0,1.0,2007,11,9,1428,10,28,0,40,4,15,1,0,3
73,33.6058,73.0437,17.0,38.0,31.397260273972602,35.0,1.0,2007,11,24,1428,11,14,2,44,5,10,0,1,5
74,33.6058,73.0437,14.725714285714286,1.0,2.0,5.0,1.0,2007,11,24,1428,11,14,2,44,5,9,0,1,5
75,34.0043,71.5448,14.725714285714286,1.0,31.397260273972602,0.0,1.0,2007,12,4,1428,11,24,2,40,4,9,0,1,5
76,35.2227,72.4258,10.0,13.0,31.397260273972602,2.0,1.0,2007,12,9,1428,11,29,0,55,4,13,0,1,6
77,33.7645,72.3667,14.725714285714286,0.0,7.0,22.0,1.0,2007,12,10,1428,11,30,2,0,5,10,1,1,1
78,30.2095,67.0182,5.0,12.0,22.0,23.0,2.0,2007,12,13,1428,12,3,2,43,1,9,0,1,5
79,34.0322,73.0944,5.0,6.0,11.0,20.0,1.0,2007,12,15,1428,12,5,2,38,4,9,0,1,5
80,33.5833,71.4333,14.725714285714286,12.0,2.0,5.0,1.0,2007,12,17,1428,12,7,2,24,4,9,0,1,5
81,34.1509,71.7359,14.725714285714286,60.0,31.397260273972602,200.0,1.0,2007,12,21,1428,12,11,0,7,4,14,2,0,1
82,35.2227,72.4258,9.0,14.0,31.397260273972602,23.0,1.0,2007,12,23,1428,12,13,0,55,4,10,0,1,5
83,33.6058,73.0437,21.0,30.0,48.0,70.0,1.0,2007,12,27,1428,12,17,2,44,5,12,1,1,3
84,35.2227,72.4258,14.725714285714286,15.20625,12.0,13.0,1.0,2008,1,7,1428,12,28,2,55,4,9,0,1,5
85,31.5451,74.3407,24.0,26.0,73.0,80.0,1.0,2008,1,10,1429,1,1,2,26,5,5,0,1,6
86,32.9746,70.1456,1.0,1.0,31.397260273972602,39.45986984815618,1.0,2008,1,15,1429,1,6,2,33,3,9,0,1,5
87,34.0043,71.5448,10.0,12.0,31.397260273972602,25.0,1.0,2008,1,17,1429,1,8,2,40,4,14,2,0,7
88,32.9746,70.1456,5.0,7.0,13.0,15.0,1.0,2008,2,1,1429,1,23,2,37,3,13,0,1,6
89,33.6058,73.0437,8.0,10.0,27.0,47.0,1.0,2008,2,4,1429,1,26,2,44,5,10,0,1,5
90,30.2095,67.0182,14.725714285714286,1.0,31.397260273972602,1.0,1.0,2008,2,5,1429,1,27,2,43,1,12,1,1,1
91,34.1509,71.7359,25.0,27.0,35.0,51.0,1.0,2008,2,9,1429,2,2,2,7,4,15,1,0,3
92,32.9746,70.1456,6.0,10.0,9.0,13.0,1.0,2008,2,11,1429,2,4,2,37,3,14,1,1,3
93,35.2227,72.4258,2.0,3.0,14.0,18.0,1.0,2008,2,16,1429,2,9,2,55,4,9,0,0,5
94,35.2227,72.4258,38.0,47.0,109.0,110.0,1.0,2008,2,16,1429,2,9,2,25,3,5,0,0,3
95,33.6058,73.0437,14.725714285714286,8.0,20.0,30.0,1.0,2008,2,25,1429,2,18,2,44,5,10,0,0,5
96,32.935,70.6688,38.0,45.0,40.0,100.0,1.0,2008,2,29,1429,2,22,2,55,4,12,1,1,6
97,34.8718,71.5249,14.725714285714286,2.0,31.397260273972602,23.0,1.0,2008,3,1,1429,2,23,2,1,3,10,0,1,5
98,33.6854,71.5131,40.0,43.0,50.0,60.0,1.0,2008,3,2,1429,2,24,0,10,4,12,1,1,0
99,31.5451,74.3407,4.0,8.0,15.0,24.0,2.0,2008,3,4,1429,2,26,2,26,5,9,0,0,5
100,31.5451,74.3407,26.0,31.0,175.0,200.0,1.0,2008,3,11,1429,3,3,2,26,5,5,0,0,3
101,31.5451,74.3407,3.0,6.0,31.397260273972602,12.0,1.0,2008,3,11,1429,3,3,2,26,5,15,1,0,1
102,35.2227,72.4258,2.0,3.0,5.0,7.0,1.0,2008,3,17,1429,3,9,2,55,4,13,0,0,6
103,32.3202,69.8597,14.725714285714286,5.0,9.0,11.0,1.0,2008,3,20,1429,3,12,0,51,3,9,0,0,5
104,34.0211,71.2874,14.725714285714286,2.0,17.0,30.0,1.0,2008,5,1,1429,4,25,0,23,3,14,2,0,7
105,32.935,70.6688,3.0,7.0,10.0,15.0,1.0,2008,5,6,1429,5,1,2,2,4,13,0,1,6
106,35.2227,72.4258,14.725714285714286,1.0,3.0,4.0,1.0,2008,5,9,1429,5,4,2,55,4,13,0,0,6
107,34.1982,72.0444,11.0,13.0,23.0,25.0,1.0,2008,5,18,1429,5,13,0,32,4,9,0,0,5
108,33.718,73.0718,14.725714285714286,8.0,25.0,30.0,1.0,2008,6,2,1429,5,28,2,17,2,4,0,0,2
109,33.718,73.0718,15.0,20.0,20.0,47.0,1.0,2008,7,6,1429,7,3,0,17,2,8,1,1,6
